,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,USER,IMGID,FPOGXp,FPOGYp
9,69884,1150.37622,972252460725,0.35815,0.42795,1150.16235,0.21387,2120,1,0.28109,0.51624,1,0.3999,0.4145,1,0.3044,0.49733,33.10796,1.0,1,0.7152,0.54926,33.95673,1.0,1,0,IMG22.PNG,182.496,335.6552727272727
10,69885,1150.39258,972252624317,0.35787,0.42922,1150.16235,0.23022,2120,1,0.30678,0.52006,1,0.40097,0.37414,1,0.303,0.4986,32.74331,1.0,1,0.71404,0.54987,33.80959,1.0,1,0,IMG22.PNG,182.23534545454547,336.83752727272724
11,69886,1150.40906,972252789102,0.36125,0.42868,1150.16235,0.2467,2120,1,0.33937,0.52159,1,0.48473,0.31928,1,0.30234,0.49913,32.26171,1.0,1,0.71339,0.55009,33.9751,1.0,1,0,IMG22.PNG,185.38181818181818,336.3348363636363
12,69887,1150.42542,972252953255,0.36424,0.42819,1150.16235,0.26306,2120,1,0.33937,0.52159,1,0.48473,0.31928,1,0.30191,0.49868,32.87909,1.0,1,0.71292,0.55018,33.7741,1.0,1,0,IMG22.PNG,188.16523636363635,335.8786909090909
13,69888,1150.44189,972253118207,0.36765,0.43013,1150.16235,0.27954,2120,1,0.33161,0.57151,1,0.51979,0.35457,1,0.30042,0.49914,33.0658,1.0,1,0.71151,0.55047,33.82631,1.0,1,0,IMG22.PNG,191.33963636363632,337.6846545454545
14,69889,1150.45825,972253281723,0.36643,0.42792,1150.16235,0.2959,2120,1,0.31489,0.39499,1,0.37404,0.38131,1,0.29954,0.49919,33.24092,1.0,1,0.71069,0.55073,33.95321,1.0,1,0,IMG22.PNG,190.20392727272724,335.62734545454543
15,69890,1150.47473,972253446006,0.36534,0.42593,1150.16235,0.31238,2120,1,0.31489,0.39499,1,0.37404,0.38131,1,0.29907,0.49955,32.96435,1.0,1,0.71014,0.55093,34.0612,1.0,1,0,IMG22.PNG,189.18923636363635,333.7748363636363
16,69891,1150.49121,972253610771,0.36684,0.4284,1150.16235,0.32886,2120,1,0.34521,0.58488,1,0.44849,0.37057,1,0.29732,0.50035,33.32071,1.0,1,0.70857,0.55187,34.14891,1.0,1,0,IMG22.PNG,190.58559999999997,336.0741818181818
17,69892,1150.50769,972253775346,0.3685,0.42373,1150.16235,0.34534,2120,1,0.34521,0.58488,0,0.40341,0.32572,1,0.29649,0.50113,33.28106,1.0,1,0.70771,0.55209,33.95571,1.0,1,0,IMG22.PNG,192.13090909090906,331.7268363636363
18,69893,1150.52405,972253938963,0.37002,0.41947,1150.16235,0.36169,2120,1,0.34521,0.58488,0,0.40341,0.32572,1,0.29589,0.50121,33.27457,1.0,1,0.70717,0.55233,33.83218,1.0,1,0,IMG22.PNG,193.5458909090909,327.7611636363636
