               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046044,            0.017776,                   0,             0.77777,             0.77776,             0.71759,              0.3894,            0.023183,           0.0079495,                   0,           0.0071687,           0.0071687,            0.033169
                  39,            0.042769,            0.020133,                   0,             0.79995,             0.88889,             0.84017,             0.29384,            0.020764,           0.0056616,                   0,           0.0073403,           0.0073403,             0.03144
                  40,             0.04298,            0.013766,                   0,             0.99946,             0.66667,             0.89102,              0.5833,            0.015416,           0.0052451,                   0,            0.007511,            0.007511,            0.029711
                  41,            0.038326,            0.015071,                   0,             0.88631,             0.88889,             0.93881,              0.5225,            0.018109,           0.0056072,                   0,           0.0076806,           0.0076806,            0.027981
                  42,            0.039954,            0.016996,                   0,             0.53202,             0.88889,             0.72064,             0.23733,            0.025202,           0.0078126,                   0,           0.0078494,           0.0078494,            0.026249
                  43,            0.044727,            0.016507,                   0,             0.33322,             0.66667,             0.49627,               0.306,            0.022835,           0.0094117,                   0,           0.0080171,           0.0080171,            0.024517
                  44,            0.041468,            0.016843,                   0,             0.77703,             0.77478,             0.78061,             0.46111,            0.019639,           0.0084518,                   0,           0.0081838,           0.0081838,            0.022784
                  45,            0.038536,            0.019018,                   0,             0.79986,             0.88889,             0.82177,             0.60223,            0.016883,           0.0070385,                   0,           0.0083494,           0.0083494,            0.021049
                  46,            0.037018,            0.015174,                   0,                   1,             0.99998,             0.99504,             0.68429,            0.014426,           0.0059788,                   0,            0.008514,            0.008514,            0.019314
                  47,            0.035341,            0.014583,                   0,                   1,             0.66553,             0.87533,             0.62496,            0.026277,           0.0058413,                   0,           0.0086775,           0.0086775,            0.017577
                  48,            0.044671,             0.01308,                   0,              0.7271,             0.88889,             0.87019,             0.51832,            0.020394,           0.0056403,                   0,           0.0088399,           0.0088399,             0.01584
                  49,            0.033409,            0.013794,                   0,             0.89975,                   1,             0.98404,             0.76893,            0.012449,           0.0052427,                   0,           0.0090011,           0.0090011,            0.014101
                  50,            0.034418,            0.015487,                   0,             0.81816,             0.99989,             0.95503,             0.69448,            0.014208,           0.0046481,                   0,           0.0091613,           0.0091613,            0.012361
                  51,            0.041182,            0.015473,                   0,             0.85675,             0.66485,             0.86002,             0.12817,            0.022197,           0.0043584,                   0,           0.0093202,           0.0093202,             0.01062
                  52,            0.042025,             0.01315,                   0,             0.99965,                   1,             0.99504,             0.53005,            0.020476,           0.0039328,                   0,           0.0094215,           0.0094215,           0.0094215
                  53,            0.042227,            0.013488,                   0,             0.59973,                   1,             0.82411,             0.23423,            0.020379,           0.0042142,                   0,           0.0094215,           0.0094215,           0.0094215
                  54,            0.040035,            0.014704,                   0,             0.69914,             0.77778,             0.76317,             0.28798,            0.019022,           0.0053836,                   0,           0.0093996,           0.0093996,           0.0093996
                  55,            0.037881,            0.016116,                   0,             0.76889,             0.77778,             0.74636,             0.50409,            0.013746,           0.0058491,                   0,           0.0093773,           0.0093773,           0.0093773
                  56,            0.034311,            0.018024,                   0,                   1,             0.77751,             0.90461,             0.67036,            0.014146,           0.0045036,                   0,           0.0093547,           0.0093547,           0.0093547
                  57,            0.038524,            0.016662,                   0,             0.81803,             0.99907,             0.96282,               0.668,            0.015156,           0.0051486,                   0,           0.0093317,           0.0093317,           0.0093317
                  58,             0.04255,            0.016611,                   0,             0.61526,             0.88889,             0.75713,              0.2912,            0.018259,           0.0057391,                   0,           0.0093083,           0.0093083,           0.0093083
                  59,            0.039349,            0.016274,                   0,                   1,             0.88778,             0.91253,             0.48068,            0.016289,           0.0052266,                   0,           0.0092846,           0.0092846,           0.0092846
                  60,            0.036191,             0.01518,                   0,                   1,             0.88866,             0.95104,             0.71917,            0.012702,           0.0049339,                   0,           0.0092605,           0.0092605,           0.0092605
                  61,            0.030664,            0.011888,                   0,             0.58313,             0.77778,             0.63023,             0.24661,            0.019207,            0.005409,                   0,           0.0092361,           0.0092361,           0.0092361
                  62,            0.041525,            0.016136,                   0,             0.59993,                   1,             0.79547,             0.41371,            0.018326,           0.0051007,                   0,           0.0092113,           0.0092113,           0.0092113
                  63,            0.040051,            0.016701,                   0,             0.88837,             0.88889,             0.94355,             0.66752,             0.01195,           0.0049834,                   0,           0.0091861,           0.0091861,           0.0091861
                  64,            0.037194,            0.013742,                   0,             0.88868,             0.88889,             0.93883,             0.50753,            0.017686,           0.0048598,                   0,           0.0091606,           0.0091606,           0.0091606
                  65,            0.031614,            0.016173,                   0,             0.72712,             0.88889,             0.84109,              0.5352,            0.013136,           0.0041429,                   0,           0.0091348,           0.0091348,           0.0091348
                  66,            0.030878,            0.012909,                   0,             0.66646,             0.88812,             0.83109,             0.56845,            0.012636,           0.0039877,                   0,           0.0091086,           0.0091086,           0.0091086
                  67,            0.036645,            0.013595,                   0,             0.99925,             0.88889,             0.91334,             0.46853,            0.017396,           0.0038534,                   0,           0.0090821,           0.0090821,           0.0090821
                  68,            0.041171,            0.016823,                   0,                 0.9,             0.99997,             0.97305,             0.35392,            0.022547,           0.0037422,                   0,           0.0090552,           0.0090552,           0.0090552
                  69,            0.037769,            0.013415,                   0,             0.72708,             0.88889,              0.8434,             0.44373,            0.015792,           0.0037669,                   0,            0.009028,            0.009028,            0.009028
                  70,            0.033344,            0.014137,                   0,             0.99967,             0.77778,             0.91021,             0.70971,            0.011773,           0.0033786,                   0,           0.0090004,           0.0090004,           0.0090004
                  71,            0.034203,            0.018336,                   0,             0.99986,             0.77778,             0.94011,             0.70844,            0.012481,           0.0037512,                   0,           0.0089726,           0.0089726,           0.0089726
                  72,            0.032881,            0.015581,                   0,                   1,             0.99929,             0.99511,             0.60889,            0.015027,           0.0038258,                   0,           0.0089444,           0.0089444,           0.0089444
                  73,            0.032754,            0.014842,                   0,             0.77297,             0.77778,             0.81374,             0.56975,            0.015473,           0.0051345,                   0,           0.0089159,           0.0089159,           0.0089159
                  74,            0.030073,             0.01414,                   0,             0.69205,                   1,             0.86019,             0.54949,            0.012405,           0.0045167,                   0,            0.008887,            0.008887,            0.008887
                  75,            0.029133,            0.015858,                   0,             0.99956,                   1,             0.99511,             0.77985,           0.0092887,           0.0037243,                   0,           0.0088579,           0.0088579,           0.0088579
                  76,            0.030706,            0.016658,                   0,                   1,             0.99982,             0.99508,             0.75234,           0.0093149,           0.0042117,                   0,           0.0088284,           0.0088284,           0.0088284
                  77,            0.025476,            0.013295,                   0,             0.88888,             0.88889,             0.95534,              0.7159,             0.01134,           0.0038606,                   0,           0.0087987,           0.0087987,           0.0087987
                  78,            0.032048,            0.014442,                   0,             0.99553,             0.66667,             0.83205,             0.46708,            0.015471,           0.0048228,                   0,           0.0087686,           0.0087686,           0.0087686
                  79,             0.03893,            0.014343,                   0,             0.66561,             0.66667,             0.63653,             0.42125,            0.015663,           0.0062295,                   0,           0.0087382,           0.0087382,           0.0087382
                  80,            0.033922,            0.015966,                   0,             0.66518,             0.66271,             0.67392,             0.55466,            0.010617,           0.0081973,                   0,           0.0087075,           0.0087075,           0.0087075
                  81,            0.030096,            0.016001,                   0,             0.82971,             0.55556,             0.62482,             0.46587,             0.01062,           0.0082386,                   0,           0.0086765,           0.0086765,           0.0086765
                  82,             0.03002,            0.012772,                   0,             0.99825,             0.55556,             0.69481,             0.52915,            0.012602,            0.007439,                   0,           0.0086452,           0.0086452,           0.0086452
                  83,            0.034957,            0.016206,                   0,             0.99926,             0.77778,             0.94005,             0.50099,            0.013256,           0.0062263,                   0,           0.0086137,           0.0086137,           0.0086137
                  84,            0.030893,            0.011763,                   0,             0.89994,             0.99938,             0.98405,             0.71341,            0.011306,           0.0036814,                   0,           0.0085818,           0.0085818,           0.0085818
                  85,            0.027864,            0.012367,                   0,                   1,             0.99924,             0.99506,             0.66713,            0.011222,           0.0037691,                   0,           0.0085497,           0.0085497,           0.0085497
                  86,            0.028405,            0.014487,                   0,                   1,              0.9992,             0.99507,              0.7926,           0.0085993,           0.0034744,                   0,           0.0085173,           0.0085173,           0.0085173
                  87,            0.023328,            0.010996,                   0,                   1,             0.99883,             0.99508,             0.82375,           0.0084791,           0.0034031,                   0,           0.0084846,           0.0084846,           0.0084846
                  88,            0.028718,            0.014833,                   0,                   1,             0.99999,             0.99508,             0.75873,            0.011149,           0.0039848,                   0,           0.0084516,           0.0084516,           0.0084516
                  89,             0.03026,              0.0136,                   0,             0.99977,                   1,             0.99509,             0.47769,            0.015813,            0.004498,                   0,           0.0084184,           0.0084184,           0.0084184
                  90,            0.031957,            0.013316,                   0,             0.88859,             0.88889,             0.82783,             0.48574,            0.012023,           0.0056491,                   0,           0.0083849,           0.0083849,           0.0083849
                  91,            0.027929,             0.01416,                   0,              0.9999,                   1,             0.99511,             0.56054,            0.011549,           0.0044636,                   0,           0.0083511,           0.0083511,           0.0083511
                  92,            0.028043,            0.015758,                   0,                   1,             0.99954,             0.99512,             0.65325,           0.0097979,           0.0040819,                   0,           0.0083171,           0.0083171,           0.0083171
                  93,            0.033095,            0.016475,                   0,             0.99824,             0.88889,             0.94698,             0.57078,            0.011653,           0.0048926,                   0,           0.0082829,           0.0082829,           0.0082829
                  94,            0.031773,            0.013556,                   0,             0.99977,             0.77778,             0.85236,             0.45058,            0.018359,           0.0045068,                   0,           0.0082483,           0.0082483,           0.0082483
                  95,            0.031723,            0.012724,                   0,             0.88887,             0.88873,              0.9436,             0.67842,            0.012394,           0.0037371,                   0,           0.0082136,           0.0082136,           0.0082136
                  96,            0.027518,            0.011619,                   0,              0.8993,                   1,             0.97312,             0.78205,           0.0075132,           0.0035182,                   0,           0.0081786,           0.0081786,           0.0081786
                  97,            0.027115,            0.013863,                   0,                 0.9,             0.99999,             0.97312,              0.8495,           0.0069054,           0.0038304,                   0,           0.0081433,           0.0081433,           0.0081433
                  98,            0.023071,            0.012923,                   0,             0.89999,             0.99988,             0.97314,             0.85135,           0.0067313,           0.0037111,                   0,           0.0081078,           0.0081078,           0.0081078
                  99,            0.024683,            0.013825,                   0,             0.99949,             0.77778,              0.9211,             0.64327,            0.012208,           0.0040676,                   0,           0.0080721,           0.0080721,           0.0080721
                 100,            0.025959,            0.011994,                   0,             0.88874,             0.88769,             0.93134,             0.48962,            0.016357,           0.0050219,                   0,           0.0080362,           0.0080362,           0.0080362
                 101,            0.032472,            0.014226,                   0,             0.72714,             0.88889,             0.89579,             0.60897,            0.012605,           0.0049918,                   0,               0.008,               0.008,               0.008
                 102,            0.025887,            0.011249,                   0,             0.87357,             0.77778,             0.90275,             0.69837,           0.0082513,            0.004959,                   0,           0.0079636,           0.0079636,           0.0079636
                 103,             0.02369,            0.010901,                   0,             0.99943,             0.77778,             0.90708,             0.77379,           0.0076935,           0.0048593,                   0,            0.007927,            0.007927,            0.007927
                 104,            0.021144,             0.01028,                   0,             0.99974,             0.66667,             0.87731,             0.39193,            0.011592,           0.0047032,                   0,           0.0078902,           0.0078902,           0.0078902
                 105,            0.028166,            0.014139,                   0,             0.81796,                   1,             0.96289,             0.62084,            0.013083,           0.0037442,                   0,           0.0078532,           0.0078532,           0.0078532
                 106,            0.024271,            0.011385,                   0,             0.81798,             0.99879,             0.95512,             0.77954,           0.0097256,           0.0037014,                   0,            0.007816,            0.007816,            0.007816
                 107,            0.022912,            0.012048,                   0,              0.9997,             0.88889,             0.96129,             0.84651,           0.0097339,           0.0036888,                   0,           0.0077785,           0.0077785,           0.0077785
                 108,            0.022615,            0.013413,                   0,             0.99949,             0.88889,             0.92474,             0.81085,           0.0083646,            0.003936,                   0,           0.0077409,           0.0077409,           0.0077409
                 109,              0.0267,            0.012116,                   0,                   1,             0.88854,             0.95115,             0.73349,           0.0086369,           0.0043576,                   0,           0.0077031,           0.0077031,           0.0077031
                 110,            0.028375,            0.013719,                   0,             0.87443,             0.77778,             0.81208,              0.5734,            0.012613,           0.0056429,                   0,           0.0076651,           0.0076651,           0.0076651
                 111,            0.026013,            0.011923,                   0,             0.53838,             0.77753,             0.51109,             0.37427,            0.019865,           0.0097625,                   0,           0.0076269,           0.0076269,           0.0076269
                 112,             0.02313,            0.012359,                   0,             0.46644,             0.77713,             0.48503,             0.40913,            0.024201,            0.010062,                   0,           0.0075886,           0.0075886,           0.0075886
                 113,            0.022316,             0.01143,                   0,             0.41165,             0.77778,             0.40623,             0.33347,            0.025196,            0.010339,                   0,           0.0075501,           0.0075501,           0.0075501
                 114,            0.021696,            0.010095,                   0,             0.66651,             0.66667,              0.5853,             0.46996,            0.021735,           0.0094574,                   0,           0.0075114,           0.0075114,           0.0075114
                 115,            0.023028,           0.0095694,                   0,             0.43661,             0.77515,             0.47786,             0.33502,            0.024974,           0.0085637,                   0,           0.0074725,           0.0074725,           0.0074725
                 116,            0.024678,            0.011477,                   0,             0.46544,             0.77778,             0.51637,             0.40178,            0.023131,           0.0067695,                   0,           0.0074335,           0.0074335,           0.0074335
                 117,            0.028915,            0.011808,                   0,             0.74965,             0.66667,             0.67099,             0.54421,            0.010393,           0.0051112,                   0,           0.0073943,           0.0073943,           0.0073943
                 118,            0.025947,            0.012583,                   0,             0.85638,             0.66667,             0.68097,             0.56644,           0.0071016,           0.0054402,                   0,            0.007355,            0.007355,            0.007355
                 119,             0.02007,            0.010419,                   0,             0.79879,             0.44444,             0.54072,             0.40684,           0.0099179,           0.0065978,                   0,           0.0073155,           0.0073155,           0.0073155
                 120,            0.023988,            0.010795,                   0,             0.88889,             0.88888,             0.85471,              0.5635,           0.0090016,            0.003662,                   0,           0.0072758,           0.0072758,           0.0072758
