               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11429,            0.029411,                   0,           0.0032526,             0.11111,          0.00073546,          0.00011192,            0.071194,            0.022532,                   0,             0.00018,             0.00018,             0.09838
                   1,             0.10644,            0.029055,                   0,           0.0015147,             0.44444,          0.00068805,          8.9737e-05,            0.067462,            0.022523,                   0,          0.00036999,          0.00036999,             0.09667
                   2,            0.098556,            0.030243,                   0,            0.009261,             0.22222,           0.0048286,          0.00064183,            0.061453,            0.022685,                   0,          0.00055995,          0.00055995,             0.09496
                   3,             0.09582,            0.033497,                   0,             0.02125,             0.33333,            0.013076,            0.001964,            0.057867,            0.025541,                   0,          0.00074985,          0.00074985,             0.09325
                   4,             0.08451,            0.034277,                   0,            0.045122,             0.11111,            0.024419,           0.0033596,            0.054037,            0.022912,                   0,          0.00093967,          0.00093967,             0.09154
                   5,            0.079047,             0.03441,                   0,            0.037094,             0.11111,            0.010495,           0.0030013,            0.056244,            0.021583,                   0,           0.0011294,           0.0011294,            0.089829
                   6,            0.075769,            0.031279,                   0,             0.13683,             0.11111,             0.02279,           0.0032714,            0.058948,            0.019911,                   0,            0.001319,            0.001319,            0.088119
                   7,            0.075834,            0.034994,                   0,            0.079704,             0.33333,            0.034233,            0.010431,            0.055988,            0.019929,                   0,           0.0015084,           0.0015084,            0.086408
                   8,            0.069745,            0.031988,                   0,             0.27742,             0.21448,             0.15982,            0.040125,            0.051139,            0.019814,                   0,           0.0016976,           0.0016976,            0.084698
                   9,            0.067143,            0.036623,                   0,             0.47285,             0.55556,             0.53518,             0.20298,             0.03617,            0.020238,                   0,           0.0018866,           0.0018866,            0.082987
                  10,            0.063151,            0.036402,                   0,             0.55528,               0.555,             0.53952,             0.17032,            0.029148,            0.018421,                   0,           0.0020754,           0.0020754,            0.081275
                  11,            0.062848,            0.028288,                   0,                   1,             0.44435,             0.60658,             0.25996,            0.029899,            0.017431,                   0,            0.002264,            0.002264,            0.079564
                  12,            0.059026,            0.034652,                   0,             0.63512,             0.77778,             0.63739,             0.14289,            0.033101,            0.015609,                   0,           0.0024522,           0.0024522,            0.077852
                  13,            0.056276,              0.0273,                   0,                   1,             0.88871,             0.94325,             0.44183,            0.030012,            0.015345,                   0,           0.0026402,           0.0026402,             0.07614
                  14,            0.055917,            0.032162,                   0,             0.79938,             0.44307,             0.56031,             0.19262,            0.032052,            0.017551,                   0,           0.0028278,           0.0028278,            0.074428
                  15,            0.055113,            0.024511,                   0,             0.99401,             0.77778,             0.91016,             0.38091,            0.032175,            0.013134,                   0,           0.0030151,           0.0030151,            0.072715
                  16,            0.059651,            0.025883,                   0,             0.55479,             0.55556,             0.44972,              0.2329,            0.035651,            0.015193,                   0,            0.003202,            0.003202,            0.071002
