,CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,USER,IMGID,FPOGXp,FPOGYp
4,92464,1521.35754,975962274929,0.54349,0.50836,1521.14392,0.21362,2677,1,0.58962,0.44323,1,0.55755,0.39692,1,0.39726,0.35978,32.57103,1.0,1,0.79663,0.42727,32.44937,1.0,1,IMAGE ONLINE AT 146270,IMG22.PNG,355.0306909090909,410.50967272727274
5,92465,1521.3739,975962438360,0.5418,0.50593,1521.14392,0.22998,2677,1,0.49254,0.46606,1,0.54382,0.47774,1,0.39564,0.35914,32.70311,1.0,1,0.79496,0.42668,32.46984,1.0,1,0,IMG22.PNG,353.4574545454545,408.2475636363636
6,92466,1521.39038,975962602607,0.53746,0.50303,1521.14392,0.24646,2677,1,0.48654,0.47156,1,0.45804,0.44735,1,0.39505,0.35904,32.86591,1.0,1,0.7943,0.42647,32.33014,1.0,1,0,IMG22.PNG,349.4173090909091,405.54792727272724
7,92467,1521.40686,975962767473,0.53363,0.50046,1521.14392,0.26294,2677,1,0.48654,0.47156,1,0.45804,0.44735,1,0.39463,0.35896,32.844,1.0,1,0.79392,0.42646,32.39982,1.0,1,0,IMG22.PNG,345.85192727272727,403.1554909090909
8,92468,1521.42322,975962931592,0.53498,0.49887,1521.14392,0.2793,2677,1,0.57306,0.48454,1,0.54296,0.45893,1,0.39363,0.35922,32.95577,1.0,1,0.79285,0.42656,32.30419,1.0,1,0,IMG22.PNG,347.10865454545456,401.6753454545454
9,92469,1521.43982,975963096614,0.53593,0.49607,1521.14392,0.2959,2677,1,0.57941,0.50853,1,0.52646,0.38278,1,0.39301,0.35961,32.8097,1.0,1,0.79218,0.42686,32.50782,1.0,1,0,IMG22.PNG,347.9930181818182,399.06879999999995
10,92470,1521.45605,975963260118,0.53678,0.49355,1521.14392,0.31213,2677,1,0.57941,0.50853,1,0.52646,0.38278,1,0.39267,0.35991,32.71073,1.0,1,0.7919,0.42704,32.31549,1.0,1,0,IMG22.PNG,348.78429090909094,396.72290909090907
11,92471,1521.47253,975963424694,0.53883,0.49325,1521.14392,0.32861,2677,1,0.56058,0.4665,1,0.59941,0.50825,1,0.3915,0.36095,32.85131,1.0,1,0.79058,0.42778,32.36588,1.0,1,0,IMG22.PNG,350.69265454545456,396.44363636363636
12,92472,1521.48901,975963588536,0.5414,0.4954,1521.14392,0.34509,2677,1,0.52486,0.48088,1,0.6657,0.60017,1,0.39067,0.36184,32.82074,1.0,1,0.7898,0.42873,32.21533,1.0,1,0,IMG22.PNG,353.08509090909087,398.4450909090909
13,92473,1521.50549,975963753457,0.54374,0.49736,1521.14392,0.36157,2677,1,0.52486,0.48088,1,0.6657,0.60017,1,0.39024,0.36235,32.93273,1.0,1,0.7894,0.42908,32.39889,1.0,1,0,IMG22.PNG,355.26341818181817,400.26967272727273
27,92487,1521.73535,975966052747,0.45214,0.38845,1521.52185,0.2135,2678,1,0.39375,0.36104,1,0.40149,0.25654,1,0.38076,0.36009,32.1212,1.0,1,0.78027,0.42354,31.86079,1.0,1,0,IMG22.PNG,269.99214545454544,298.8843636363636
54,92514,1522.17896,975970488645,0.28631,0.17238,1521.96545,0.2135,2680,1,0.17695,0.23751,1,0.33769,0.14488,1,0.36773,0.35968,27.80309,1.0,1,0.76765,0.41815,28.03823,1.0,1,0,IMG22.PNG,115.61949090909091,97.74283636363636
55,92515,1522.19543,975970653442,0.28438,0.17363,1521.96545,0.22998,2680,1,0.17695,0.23751,1,0.33769,0.14488,1,0.368,0.35954,27.93964,1.0,1,0.76791,0.41849,27.83572,1.0,1,0,IMG22.PNG,113.82283636363637,98.90647272727273
56,92516,1522.21191,975970817878,0.28337,0.17327,1521.96545,0.24646,2680,1,0.22517,0.29337,1,0.3114,0.04227,1,0.36894,0.3599,27.68669,1.0,1,0.76873,0.41942,27.92073,1.0,1,0,IMG22.PNG,112.88261818181819,98.57134545454545
57,92517,1522.22827,975970981363,0.28053,0.17198,1521.96545,0.26282,2680,1,0.19722,0.21161,1,0.27301,0.09114,1,0.36918,0.36035,27.6421,1.0,1,0.76923,0.41985,27.98155,1.0,1,0,IMG22.PNG,110.23883636363635,97.37047272727271
58,92518,1522.24463,975971145820,0.27801,0.17084,1521.96545,0.27917,2680,1,0.19722,0.21161,1,0.27301,0.09114,1,0.36968,0.36038,27.60833,1.0,1,0.76941,0.42008,28.08502,1.0,1,0,IMG22.PNG,107.89294545454543,96.30923636363634
59,92519,1522.26099,975971309035,0.27947,0.17189,1521.96545,0.29553,2680,1,0.275,0.21528,1,0.33641,0.16634,1,0.37052,0.36067,27.76586,1.0,1,0.77034,0.42083,27.63854,1.0,1,0,IMG22.PNG,109.25207272727272,97.2866909090909
60,92520,1522.27759,975971474264,0.27776,0.17335,1521.96545,0.31213,2680,1,0.25781,0.22501,1,0.23288,0.17719,1,0.37095,0.36039,27.63091,1.0,1,0.77081,0.4208,27.8289,1.0,1,0,IMG22.PNG,107.66021818181818,98.64581818181817
61,92521,1522.29395,975971638629,0.27622,0.17467,1521.96545,0.32849,2680,1,0.25781,0.22501,1,0.23288,0.17719,1,0.37129,0.36047,27.51574,1.0,1,0.77113,0.42086,27.84889,1.0,1,0,IMG22.PNG,106.2266181818182,99.87461818181816
62,92522,1522.3103,975971802560,0.27408,0.17361,1521.96545,0.34485,2680,1,0.25389,0.21258,1,0.20428,0.09026,1,0.37225,0.36029,27.52592,1.0,1,0.77211,0.42088,27.82055,1.0,1,0,IMG22.PNG,104.2344727272727,98.88785454545453
